Number of items,Table-Based,List-Based,List-Based with UB-1,List-Based with UB-2
5,0.00013699999999516876,2.330000000227983e-05,2.5800000003073364e-05,2.6900000001717217e-05
10,0.0011082000000044445,9.699999999668307e-05,7.330000000393966e-05,0.00012350000000083128
15,0.004795000000001437,0.00028939999999977317,0.0001657000000037101,0.00039029999999939946
20,0.013210600000000738,0.0007243999999957396,0.0003792999999987501,0.0011271000000050435
25,0.024329899999997906,0.000836099999993678,0.0004522999999991839,0.0014236000000025228
30,0.031721399999995015,0.0018557000000001267,0.0010532000000011976,0.004764799999996683
35,0.045885300000001905,0.0028007000000016546,0.001352499999995871,0.005878000000002714
40,0.08527810000000358,0.004283799999996063,0.00166240000000073,0.007900800000001595
45,0.11490249999999946,0.007364899999998897,0.0042740000000023315,0.02346550000000036
50,0.1530468000000056,0.007565700000000675,0.0033580999999998085,0.02173750000000041
55,0.19236609999999388,0.012416799999996897,0.005541299999997307,0.03454510000000255
60,0.2747759999999957,0.015525500000002523,0.007987299999996367,0.06609559999999703
65,0.38646780000000547,0.017424100000006604,0.008794600000001651,0.06603659999999678
70,0.424536499999995,0.02136740000000259,0.010763900000000604,0.09020729999999588
75,0.5765784999999966,0.03593999999999653,0.015856100000000595,0.14888359999999778
80,0.6753625999999997,0.0357594999999975,0.01543569999999761,0.15099099999999765
85,0.733976399999996,0.04134299999999769,0.018087899999997603,0.20382859999999425
90,1.0510814999999951,0.06112770000000012,0.029829999999996915,0.29841679999999826
95,1.0339917000000014,0.0528974000000062,0.02630320000000097,0.2833924000000039
